"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q2,Q1";"SOT23";2;"IRLML2502TRPBF";;;
2;"R12,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"47k";;;
3;"R17,R20,R10,R1,R18,R15,R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";7;"10k";;;
4;"C9,C28,C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"1u";;;
5;"C15,C16";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"18p";;;
6;"SW2,SW1";"SAMZO G4R0015010";2;"SAMZO G4R0015010";;;
7;"C20,C12,C14,C26,C11,C17,C7,C27,C23,C18,C2,C1,C22,C10,C24,C25,C21,C5,C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";19;"100nf";;;
8;"FB1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"FerriteBead";;;
9;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470r";;;
10;"J4,J2";"MOLEX_26013114";2;"Pyro";;;
11;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"8mhz";;;
12;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F405RGT6";;;
13;"R13,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
14;"R4,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"100R";;;
15;"U9";"PQFN50P300X300X100-16N";1;"H3LIS100DL";;;
16;"U6";"LGA-8_3x5mm_P1.25mm";1;"MPL3115A2R1";;;
17;"U4";"SOT230P700X180-4N";1;"LDL1117-3.3";;;
18;"U7";"LGA-14-2.5X3MM";1;"LSM6DS3TR-C";;;
19;"U5";"XCVR_RFM95W-915S2";1;"RFM95W-915S2";;;
20;"PowerLED1";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"RLED";;;
21;"D1";"LED_Kingbright_AAA3528ESGCT";1;"NeoPixel_THT";;;
22;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100k";;;
23;"R11,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"75k";;;
24;"J6,J5";"JST_B5B-XH-A";2;"Conn_01x05_Pin";;;
25;"C19";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10u";;;
26;"C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7u";;;
27;"D2,D3";"D_2114_3652Metric";2;"D_Schottky";;;
28;"J8";"microSD_HC_Molex_47219-2001";1;"Micro_SD_Card";;;
29;"J7";"SMA_Amphenol_132291_Vertical";1;"Conn_Coaxial_Small";;;
30;"C3,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"2.2u";;;
31;"U3";"MOLEX_26013114";1;"PowerIn";;;
32;"D4";"SOT95P280X145-6N";1;"SRV05-4.TCT";;;
33;"BZ1";"Buzzer_12x9.5RM7.6";1;"Buzzer";;;
34;"J9";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
35;"J1";"CONN_7024610XX_MOL";1;"Microsemi_FlashPro-JTAG-10";;;
36;"CAN_IN1,CAN_OUT1";"MOLEX_26013114";2;"CAN";;;
37;"R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1k";;;
38;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"120R";;;
39;"D6";"D_SOD-323";1;"1N5819WS";;;
40;"R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"33R";;;
41;"Q3";"SOT-23";1;"BC817";;;
42;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"SN65HVD230";;;
43;"U8";"WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm";1;"W25Q128JVP";;;
